
Player,# of years in college,Source
Anthony Gill,3,https://en.wikipedia.org/wiki/Anthony_Gill_(basketball)
Jacob Gilyard,5,https://www.wikiwand.com/en/Jacob_Gilyard
Josh Green,1,https://en.wikipedia.org/wiki/Josh_Green_(basketball)
Quentin Grimes,2,https://en.wikipedia.org/wiki/Quentin_Grimes
Rui Hachimura,3,https://en.wikipedia.org/wiki/Rui_Hachimura
Jett Howard,1,https://en.wikipedia.org/wiki/Jett_Howard
Joe Ingles,0,https://en.wikipedia.org/wiki/Joe_Ingles
DeJon Jarreau,4,https://en.wikipedia.org/wiki/DeJon_Jarreau
Cameron Johnson,5,https://en.wikipedia.org/wiki/Cameron_Johnson
Derrick Jones Jr,1,https://en.wikipedia.org/wiki/Derrick_Jones_Jr.
Walker Kessler,2,https://en.wikipedia.org/wiki/Walker_Kessler
Maxi Kleber,0,https://en.wikipedia.org/wiki/Maxi_Kleber
Kawhi Leonard,3,https://en.wikipedia.org/wiki/Kawhi_Leonard
Damian Lillard,4,https://en.wikipedia.org/wiki/Damian_Lillard
Brook Lopez,2,https://en.wikipedia.org/wiki/Brook_Lopez
Bam Adebayo,1,https://en.wikipedia.org/wiki/Bam_Adebayo
Dominick Barlow,0,https://en.wikipedia.org/wiki/Dominick_Barlow
Charles Bassey,3,https://en.wikipedia.org/wiki/Charles_Bassey
Jules Bernard,4,https://en.wikipedia.org/wiki/Jules_Bernard
James Bouknight,3,https://en.wikipedia.org/wiki/James_Bouknight
Mikal Bridges,4,https://en.wikipedia.org/wiki/Mikal_Bridges
Reggie Bullock Jr.,3,https://en.wikipedia.org/wiki/Reggie_Bullock
Justin Champagnie,2,https://en.wikipedia.org/wiki/Justin_Champagnie
Noah Clowney,1,https://en.wikipedia.org/wiki/Noah_Clowney
Zach Collins,1,https://en.wikipedia.org/wiki/Zach_Collins
Pat Connaughton,4,https://en.wikipedia.org/wiki/Pat_Connaughton
Ousmane Dieng,0,https://en.wikipedia.org/wiki/Ousmane_Dieng
Joel Embiid,1,https://en.wikipedia.org/wiki/Joel_Embiid
Drew Eubanks,3,https://en.wikipedia.org/wiki/Drew_Eubanks
Andrew Funk,5,https://en.wikipedia.org/wiki/Andrew_Funk
Bruce Brown,2,https://en.wikipedia.org/wiki/Bruce_Brown_(basketball)
Kevin Durant,1,https://en.wikipedia.org/wiki/Kevin_Durant
Markelle Fultz,1,https://en.wikipedia.org/wiki/Markelle_Fultz
Chimezie Metu,3,https://en.wikipedia.org/wiki/Chimezie_Metu
Payton Pritchard,4,https://en.wikipedia.org/wiki/Payton_Pritchard
Franz Wagner,2,https://en.wikipedia.org/wiki/Franz_Wagner_(basketball)
Moritz Wagner,3,https://en.wikipedia.org/wiki/Moritz_Wagner_(basketball)
Jarace Walker,1,https://en.wikipedia.org/wiki/Jarace_Walker
Peyton Watson,1,https://en.wikipedia.org/wiki/Peyton_Watson
Jack White,4,https://en.wikipedia.org/wiki/Jack_White_(basketball)
Aaron Wiggins,3,https://en.wikipedia.org/wiki/Aaron_Wiggins
Grant Williams,3,https://en.wikipedia.org/wiki/Grant_Williams_(basketball)
Malik Monk,1,https://en.wikipedia.org/wiki/Malik_Monk
Sviatoslav Mykhailiuk,4,https://en.wikipedia.org/wiki/Sviatoslav_Mykhailiuk
Isaac Okoro,1,https://en.wikipedia.org/wiki/Isaac_Okoro
Mason Plumlee,4,https://en.wikipedia.org/wiki/Mason_Plumlee
Lester Quinones,3,https://en.wikipedia.org/wiki/Lester_Qui%C3%B1ones
Austin Reeves,4,https://en.wikipedia.org/wiki/Austin_Reaves
Dennis Schröder,0,https://en.wikipedia.org/wiki/Dennis_Schr%C3%B6der
Dmytro Skapinsev,0,https://en.wikipedia.org/wiki/Dmytro_Skapintsev
Dalen Terry,2,https://en.wikipedia.org/wiki/Dalen_Terry
Myles Turner,1,https://en.wikipedia.org/wiki/Myles_Turner
Gabe Vincent,4,https://en.wikipedia.org/wiki/Gabe_Vincent
Jabari Walker,2,https://en.wikipedia.org/wiki/Jabari_Walker
P.J. Washinton,2,https://en.wikipedia.org/wiki/P._J._Washington
Yuta Watanabe,4,https://en.wikipedia.org/wiki/Yuta_Watanabe
Vince Williams Jr.,4,https://en.wikipedia.org/wiki/Vince_Williams_Jr
